,GEO_ID,FSRR2010
99,0500000US37101,69.4
100,0500000US37107,65.3
1,0500000US33011,69.5
2,0500000US33005,63.5
3,0500000US33007,59.2
4,0500000US33019,56.4
5,0500000US33013,67.5
6,0500000US33015,67.1
7,0500000US33017,66.8
8,0500000US33001,54.8
9,0500000US33009,53.7
10,0500000US33003,47.8
1,0500000US30003,53.6
2,0500000US30005,57.4
3,0500000US30007,68.2
4,0500000US30009,54.8
5,0500000US30011,52.8
6,0500000US30013,70.1
7,0500000US30015,59.9
8,0500000US30017,69.7
9,0500000US30019,58.6
10,0500000US30021,67.7
11,0500000US30023,61.4
12,0500000US30025,64
13,0500000US30027,67.5
14,0500000US30029,57.9
15,0500000US30031,65.6
16,0500000US30033,46.9
17,0500000US30035,61.6
18,0500000US30037,54.9
19,0500000US30039,39.6
20,0500000US30041,62.2
21,0500000US30043,70.4
22,0500000US30045,56.1
23,0500000US30047,35
24,0500000US30049,68.5
25,0500000US30051,61.5
26,0500000US30053,55.3
27,0500000US30055,54.2
28,0500000US30057,37.9
29,0500000US30059,43.2
30,0500000US30061,47.7
31,0500000US30063,70.4
32,0500000US30065,57.3
33,0500000US30067,55.8
34,0500000US30069,51.2
35,0500000US30071,60.4
36,0500000US30073,67.3
37,0500000US30075,51.2
38,0500000US30077,59.7
39,0500000US30079,65.2
40,0500000US30081,62.6
41,0500000US30083,67.6
42,0500000US30085,60.1
43,0500000US30087,61.7
44,0500000US30089,57.3
45,0500000US30091,60.9
46,0500000US30093,68.6
47,0500000US30095,59.5
48,0500000US30097,55.1
49,0500000US30099,70.5
50,0500000US30101,59.6
51,0500000US30103,58.4
52,0500000US30105,51.5
53,0500000US30107,59.3
54,0500000US30109,62.1
55,0500000US30111,73.8
56,0500000US30001,56
1,0500000US31001,75.5
2,0500000US31003,70.7
3,0500000US31005,61.4
4,0500000US31007,60.5
